timestamp,W1 (m),W2 (m),W3 (m),W4 (m),W5 (m),L1 (m),L2 (m),L3 (m),L4 (m),L5 (m),Vdd (V),Vi (V),Vin1_dc (V),Vin2_dc (V),Vin1_ac (V),Vin2_ac (V),gain_db,bandwidth (Hz),phase_margin,region5,Fom,SR,PSRR,CMRR,fit_b0,fit_b1,fit_b2,fit_a1,fit_a2
five_stage_amp_20250523_222020.raw,2e-06,2e-06,3.53e-06,3.53e-06,7.1e-07,2.3e-07,2.3e-07,1.1e-07,1.1e-07,1.8e-07,1.2,0.2,0.31,0.31,0.036000000000000004,-0.036000000000000004,31.396207553225366,4365.158322401716,90.91884807268832,4.138142737595072e-08,3311858130163.512,65940.9080069404,27.29686292441009,9.812582961711094,37.13740174095747,-1.0292159717144162e-06,1.3571006552011e-15,3.6847070747524506e-05,-6.630351536262365e-13
five_stage_amp_20250523_222021.raw,4.31e-06,4.31e-06,6.4e-07,6.4e-07,2.75e-06,2.4000000000000003e-07,2.4000000000000003e-07,1.3e-07,1.3e-07,1.1e-07,1.2,0.45,0.17,0.17,0.016,-0.016,37.644142057229345,9549.925860214496,90.29054047184982,1.869758838007193e-07,1922701251146.8052,45277512.8896434,32.99718739740858,16.06051717162024,76.2442515184922,3.5582620348930795e-08,-4.542752450087667e-17,1.7066404253423785e-05,3.721770065785735e-14
five_stage_amp_20250523_222023.raw,3.15e-06,3.15e-06,5.13e-06,5.13e-06,2.75e-06,1.3e-07,1.3e-07,6.000000000000001e-08,6.000000000000001e-08,1.8e-07,1.2,0.56,1.0,1.0,0.045,-0.045,16.11890565065366,43651583.2240178,97.95207401692383,0.0001306315286977428,5386262860918.023,135302456.9422462,12.46629125545774,-5.464717223306349,6.2684759838348105,-1.546610690375664e-07,4.966699615040431e-17,-4.004408200968986e-08,5.547977504421512e-17
five_stage_amp_20250523_222024.raw,2.77e-06,2.77e-06,5.15e-06,5.15e-06,1.98e-06,1.3e-07,1.3e-07,2.1e-07,2.1e-07,1.8e-07,1.2,0.1,0.06,0.06,0.014,-0.014,6.936950693148725,7244.359600750002,116.09361070140577,7.329383057246036e-09,6856479591984.082,15373.61514889607,-3.194455527518608,-14.64667418160315,2.222529528617692,3.356138405577811e-08,-1.0044705155559363e-15,2.2300202971014114e-05,1.3989305541395104e-12
five_stage_amp_20250523_222026.raw,4.22e-06,4.22e-06,4.39e-06,4.39e-06,5.92e-06,2.2e-07,2.2e-07,2.3e-07,2.3e-07,9e-08,1.2,0.52,0.71,0.71,0.046,-0.046,21.257396151867457,34673685.0452541,90.14322306895149,0.0003665982152412245,2010572415272.2603,176376962.264116,15.3789712476915,-0.3262287690939127,11.558022672779185,-4.699333386243118e-09,9.966788620909848e-20,4.258825929572913e-09,-1.7544599272635098e-18
five_stage_amp_20250523_222028.raw,5.98e-06,5.98e-06,5.4300000000000005e-06,5.4300000000000005e-06,4.63e-06,1.8e-07,1.8e-07,2.4000000000000003e-07,2.4000000000000003e-07,1.1e-07,1.2,0.77,0.96,0.96,0.037,-0.037,-21.464994332188066,575439937.3371753,179.99999989246922,0.000629254068559835,-19629296989253.562,228303495.6732826,8.443783644120993,-43.04861925314064,0.08447666165832139,-2.47064510457742e-09,5.369026829579905e-20,-2.897095692305469e-08,-7.992313203303792e-18
five_stage_amp_20250523_222029.raw,5.9e-06,5.9e-06,8.8e-07,8.8e-07,5.23e-06,2.3e-07,2.3e-07,1.7000000000000001e-07,1.7000000000000001e-07,1.6e-07,1.2,0.88,0.5700000000000001,0.5700000000000001,0.006,-0.006,-5.939350747551607,190546071.7963305,179.999999693624,0.0001743840196461203,-6489814584290.302,64307173.17616881,15.46777060846311,-27.52297566850348,0.5046974074624401,-1.2905889096448508e-08,1.940500139422471e-19,-2.472253547634975e-08,-2.1354046872451797e-17
five_stage_amp_20250523_222031.raw,2.95e-06,2.95e-06,5.1e-06,5.1e-06,3.3e-06,1.3e-07,1.3e-07,6.000000000000001e-08,6.000000000000001e-08,2e-07,1.2,0.35000000000000003,0.9400000000000001,0.9400000000000001,0.009000000000000001,-0.009000000000000001,16.592060039246668,2511886.431509638,98.03963800662314,5.175647740911904e-06,8052590239851.562,10004722.78854241,12.80961659831774,-4.99137788503862,6.557099745219153,-1.7450303796114561e-06,3.3879850825116686e-15,-4.804173072059691e-07,7.151160942566657e-15
five_stage_amp_20250523_222032.raw,1.54e-06,1.54e-06,2e-06,2e-06,3e-06,7e-08,7e-08,1.1e-07,1.1e-07,2.4000000000000003e-07,1.2,0.29,0.41000000000000003,0.41000000000000003,0.048,-0.048,25.257828805013432,208929.613085408,92.73690424792449,9.999750049444169e-07,5277240304523.667,1119785.029385555,20.32966853782589,3.674203884160059,18.3185999903975,-2.358412366716332e-08,2.153228083312223e-18,7.921635680991081e-07,-7.911269386616873e-16
five_stage_amp_20250523_222034.raw,1.55e-06,1.55e-06,2.11e-06,2.11e-06,5.93e-06,1.9e-07,1.9e-07,1.2000000000000002e-07,1.2000000000000002e-07,9e-08,1.2,0.8300000000000001,0.41000000000000003,0.41000000000000003,0.007,-0.007,38.86586832239864,549540.873857636,89.85860291087339,1.670554300131713e-05,1278520742453.1355,199955044.3364792,33.85713299261161,17.28224340150142,84.69955591309397,-8.6596247155094e-05,5.269885283648028e-13,-1.9031017825818036e-06,1.0941142969618358e-13
